record_id,pmid,doi,title
42074741,42074741,10.3390/jcm15082938,Cutaneous Pain in Atopic Dermatitis: Mental Health Burden.
42068165,42068165,10.1111/ijd.70463,Editor's Highlights-June 2026.
42058418,42058418,10.3389/fmed.2026.1769149,Experience in the management of real-world patients with chronic prurigo nodularis in a dermatology setting: results from the ECOSPIN Spanish survey-based study.
42051022,42051022,10.2340/actadv.v106.44468,Epidemiology and Comorbidity of Vitiligo in Germany: A Claims Data Analysis.
42042898,42042898,10.3390/metabo16040253,Common Skin Diseases and Metabolic Syndrome: A Proinflammatory Chemokine Perspective.
42009172,42009172,10.1016/j.jaad.2026.02.128,"Comment on ""Examining the impact of child atopic dermatitis on maternal depression: A longitudinal cohort study""."
41942010,41942010,10.1016/j.jaad.2026.04.005,"The effects of a peer-led, online self-management program for adult atopic dermatitis: A multi-center randomized controlled trial."
41914530,41914530,10.4168/aair.2026.18.2.224,A Risk Factor Atlas for Allergy-Related Airway Diseases: Evidence From Multi-Biobank Genetic Study.
41907217,41907217,10.2147/JIR.S596960,Current Status and Influencing Factors of Self-Management Behaviors Among Chinese Patients with Atopic Dermatitis: A Cross-Sectional Study.
41905636,41905636,10.1016/j.jaad.2026.03.086,Deepening the childhood atopic dermatitis-maternal depression link for clinical translation.
41905626,41905626,10.1016/j.jaad.2026.03.085,"Response to Qing et al, ""Deepening the childhood atopic dermatitis-maternal depression link for clinical translation""."
41896900,41896900,10.1186/s13052-026-02241-6,Seasonal allergic rhinitis in children: diagnostic markers of extreme allergic phenotype formation.
41895669,41895669,10.1016/j.bbi.2026.106564,Interleukin-17 plays a crucial role in atopic Dermatitis-Associated Blood-Brain barrier disruption and cognitive impairment.
41872098,41872098,10.1684/ejd.2026.4726,"Improvement of depressive symptoms in patients with severe atopic dermatitis treated with dupilumab: an open-label trial validated using the Beck depression inventory, Hamilton depression rating scale measures, and 18F-fluorodeoxyglucose positron emission tomography."
41867035,41867035,10.3238/arztebl.m2026.0031,The Quality of Outpatient Health Care: An Evaluation of Common Mental and Physical Conditions in Childhood and Adolescence (the QualiPäd Study).
41857860,41857860,10.1136/bmjopen-2025-110921,Applying medical hypnosis in the management of atopic dermatitis in children and young adolescents: study protocol for a pilot cluster randomised controlled trial (Hypno-AD).
41857483,41857483,10.1097/JCMA.0000000000001369,Prenatal depression and psychotropics in offspring asthma and atopic dermatitis.
41854066,41854066,10.1111/ddg.70020,Psychoeducational schema therapy for psoriasis and atopic dermatitis: a randomized controlled pilot crossover trial.
41841275,41841275,10.2340/actadv.v106.adv-2025-0184,Quality of Life and Economic Burden in Swedish Adults with Atopic Dermatitis: A Cross-sectional Survey of Patientreported Outcomes.
41814609,41814609,10.15586/aei.v54i2.1561,"Atopic dermatitis in adolescents: assessment of quality of life, anxiety, and depression levels."
41781039,41781039,10.1136/bmjopen-2025-106687,Prevalence and comparative risk of mental health disorders in persons with vitiligo: a retrospective matched cohort study using claims data with expert-informed case validation.
41779423,41779423,10.1001/jamapsychiatry.2026.0029,Comorbid Depression in Atopic Dermatitis-The Itch-to-Brain Circuitry Theory.
41755575,41755575,10.62641/aep.v54i1.2048,Maternal Anxiety and Psychosocial Burden in Childhood Atopic Dermatitis: A Comparative Study.
41726274,41726274,10.4103/ipj.ipj_432_24,Prevalence of alexithymia in allergy and hypersensitivity: A systematic review and meta-analysis.
41723878,41723878,10.1111/pde.70165,Inpatient Psychiatric Burden in Adolescents With Atopic Dermatitis.
41722568,41722568,10.1016/j.immuni.2026.01.010,Hyperactivation of sympathetic nerves fuels basophil infiltration in atopic dermatitis.
